product,marketing_name,brand,cpu,cpu_make,device,memory_mb
NX551J,NX551J,nubia,MSM8953,Qualcomm,NX551J,4096
P996A01_N,A2017U,ZTE,MSM8996,Qualcomm,ailsa_ii,4096
Primo_GH10,PRIMO GH10,WALTON,SC9863A,Spreadtrum,Primo_GH10,2048
A80Plus_US,A80Plus,Blackview,MT6762,Mediatek,A80Plus,4096
HLTE311T,HLTE311T,Hisense,SDM636,Qualcomm,HSSDM636QC,4096
s9121,Sugar,SUGAR,MT6589T,Mediatek,s9121,2048
STAR-X_4K_ATV3,Europe,STAR-X,t32,Mediatek,marina,2048
zerofltezt,Galaxy S6,samsung,Exynos 7420,Samsung,zerofltechn,3072
H5032U_Orange,Kicka 6 Plus 4G ,Orange,SC9863A,Spreadtrum,H5032U,2048
HF550_RU,HF550,Bluebird,APQ8053,Qualcomm,HF550,3072
perry_usc_f,Moto E (4),motorola,MSM8917,Qualcomm,perry_f,2048
theater,Theater12,PANASONIC,i.MX6,Freescale,Theater12,4096
raphaelin,Mi  9T  Pro,Xiaomi,SDM855,Qualcomm,raphaelin,8192
TLS_AU_P840F20,T85,ZTE,MSM8940,Qualcomm,P840F20,3072
X2_Usa,X2_Usa/,XMOBILE,MT6739WA,Mediatek,X2_Usa,2048
9132G1_RU,TCL TAB 8,TCL,MT8766B,Mediatek,Luna,2048
G3_Tab_EEA,G3_Tab_EEA,UMIDIGI,MT8766B,Mediatek,G3_Tab_EEA,4096
EB_4063_X,EB-4063-X,panasonic,APQ8064,Qualcomm,EB-4063-X,2048
SH-RM19,AQUOS sense6,RAKUTEN,SM6350,Qualcomm,Chara,4096
CP093,CP093,SGINO,MT6739WA,Mediatek,CP093,3072
L310i,L310i,DEXP,MT8321,Mediatek,L310i,2048
acawhl_00651,HTC Bolt,htc,MSM8994,Qualcomm,htc_acawhl,3072
VNA-LX2,HONOR X5,HONOR,MT6762,Mediatek,HNVNA-M,2048
m21ins,Galaxy M21 Prime Edition,samsung,Exynos 9611,Samsung,m21,4096
LOGIC_MV02,LOGIC MV02,LOGIC,SC9863A,Spreadtrum,LOGIC_MV02,2048
SCG23_jp_kdi,Galaxy Z Flip5,samsung,SM8550,QTI,SCG23,8192
SCAC57OX_EEA,Archos Oxygen 57,archos,SC9863A,Spreadtrum,ac57ox,3072
NovaTab_R10,NovaTab_R10,Rizzen,T310,Spreadtrum,NovaTab_R10,2048
