manufacturer,brand,product,device,marketing_name,cpu_model,cpu_make,ram_mb
Sony,Sony,BRAVIA_VH22_M_JPB,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_EU,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_EU,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_M_EU,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_M_UC,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_UC,BRAVIA_VH21,BRAVIA_VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_TW,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_SA,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_HK,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_PA,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_HK,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_PA,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_TW,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_M_SA,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_M_HK,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_M_PA,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_M_TW,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_SA,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_M_JP,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_JP,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_M_JP,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_UCB,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_SA,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_TW,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_PA,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_BR,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_HK,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_EU,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_CO,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH1_JP,BRAVIA_VH1,BRAVIA VH1,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_BB,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_JPB,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_JPB,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_EU,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_UC,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_UC,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_HK,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_SA,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_PA,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_TW,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_TW,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_SA,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_EU,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_PA,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_JP,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH2_JP,BRAVIA_VH2,BRAVIA VH2,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_M_CN,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_HK,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_TW,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_PA,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_EU,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_JP,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH22_BB,BRAVIA_VH22,BRAVIA VH22,MT5835,Mediatek,4096
Sony,Sony,BRAVIA_VH21_JPB,BRAVIA_VH21,BRAVIA VH21,MT5835,Mediatek,4096
Panasonic,Panasonic,JX700C,JX700C,JX700C,MT9639,Mediatek,3072
Hisense,Hisense,VIDAA_TV,MT9669,VIDAA_TV,MT9639,Mediatek,4096
Panasonic,Panasonic,JX900C,JX900C,JX900C,MT9652,Mediatek,3072
Panasonic,Panasonic,LX600C,LX600C,LX600C,MT9638,Mediatek,3072
Xiaomi,Xiaomi,tarzan,tarzan,MiTV,t31,Mediatek,2048
Hisense,Hisense,VIDAA_TV,MTK9652,VIDAA_TV,t32,Mediatek,3072
Toshiba,Toshiba,Toshiba_TV,MTK9652,Toshiba_TV,t32,Mediatek,3072
Toshiba,Toshiba,Toshiba_TV,MTK9639,Toshiba_TV,t32,Mediatek,3072
Toshiba,Toshiba,Toshiba_TV,MTK9632,Toshiba_TV,MT8785,Mediatek,1536
TPV,Philips,PH0M_KN_T32,PH0M_EA_T32,Philips Android TV,t32,Mediatek,1536
skyworth,SW,SW4_TG,SW4H,SWTV-20AE,t32,Mediatek,2048
skyworth,SW,SW4H_B,SW4H,SWTV-20SA,t32,Mediatek,2048
TPV,Philips,PH0M_HKN_T32,PH0M_EA_T32,Philips Android TV,t32,Mediatek,1536
Hisense,Hisense,VIDAA_TV,MTK9632,VIDAA_TV,MT8785,Mediatek,1536
TPV,Philips,PH0M_HC_T32,PH0M_EA_T32,Philips Android TV,t32,Mediatek,1536
TPV,SHARP,SHARP_T32,OD0M_EA_T32,SHARP UHD TV,t32,Mediatek,1536
TPV,Sony,BRAVIA_TL,OD0M_EA_T32,BRAVIA TL,t32,Mediatek,1536
TPV,Panasonic,PAN0M_EA_T32,OD0M_EA_T32,Panasonic 2021 UHD Android TV,t32,Mediatek,1536
TPV,Philips,PH0M_HEA_T32,PH0M_EA_T32,Philips Android TV,t32,Mediatek,1536
TPV,Philips,PH0M_EA_T32_2G,PH0M_EA_T32,Philips Android TV,t32,Mediatek,1536
TPV,Sony,BRAVIA_TL2,OD0M_EA_T32,BRAVIA TL2,t32,Mediatek,1536
My,My,BODRUM,finch,Android TV,t32,Mediatek,1536
My,Finlux,BODRUM_Finlux,finch,Android TV,t32,Mediatek,1536
Haier,Haier,HaierATVT32DVB,dupont,Haier Android TV DVB,t32,Mediatek,1536
My,Nokia,BODRUM_Nokia,finch,Android TV,t32,Mediatek,1536
My,Hanseatic,BODRUM_Hanseatic,finch,Android TV,t32,Mediatek,1536
My,Quest,BODRUM_Quest,finch,Android TV,t32,Mediatek,1536
Changhong,STRONG,DVB94ST,dundas,Smart TV,t32,Mediatek,1536
My,Regal,BODRUM_Regal,finch,Android TV,t32,Mediatek,1536
My,Atlantic,BODRUM_Atlantic,finch,Android TV,t32,Mediatek,1536
Haier,Haier,HaierATVT32ISDB,dupont,Haier Android TV ISDB,t32,Mediatek,1536
Changhong,Philco,ISDB94PL,dundas,PTV,t32,Mediatek,1536
My,NewPol,BODRUM_NewPol,finch,Android TV,t32,Mediatek,1536
My,Luxor,BODRUM_Luxor,finch,Android TV,t32,Mediatek,1536
My,Kydos,BODRUM_Kydos,finch,Android TV,t32,Mediatek,1536
My,Andersson,BODRUM_Andersson,finch,Android TV,t32,Mediatek,1536
My,Nabo,BODRUM_Nabo,finch,Android TV,t32,Mediatek,1536
My,Vestel,BODRUM_Vestel,finch,Android TV,t32,Mediatek,1536
